timestamp_sec,person_lat,person_lon,drone_lat,drone_lon,error_meters
1771590350.387737513,28.753563526,77.115649614,28.753560500,77.115651900,0.4036
1771590350.421112776,28.753563435,77.115649515,28.753560500,77.115651900,0.4007
1771590350.454488039,28.753563376,77.115649361,28.753560500,77.115651900,0.4044
1771590350.487863302,28.753563288,77.115649408,28.753560500,77.115651900,0.3938
1771590350.521238804,28.753563151,77.115649290,28.753560500,77.115651900,0.3894
1771590350.587989330,28.753563556,77.115649425,28.753560600,77.115651800,0.4020
1771590350.788242817,28.753563338,77.115648655,28.753560600,77.115651800,0.4320
1771590350.888369560,28.753563027,77.115648462,28.753560600,77.115651700,0.4153
1771590350.921745062,28.753562946,77.115648219,28.753560600,77.115651700,0.4280
1771590350.955120802,28.753562953,77.115648229,28.753560600,77.115651700,0.4277
1771590351.021872044,28.753562952,77.115648214,28.753560600,77.115651700,0.4289
1771590352.523698568,28.753560220,77.115648745,28.753560400,77.115651400,0.2596
1771590352.557072163,28.753560373,77.115648750,28.753560400,77.115651400,0.2584
1771590352.590445995,28.753559022,77.115650193,28.753558700,77.115651400,0.1230
1771590352.623819828,28.753559022,77.115650257,28.753558700,77.115651400,0.1171
1771590352.657193661,28.753558851,77.115650111,28.753558700,77.115651400,0.1268
1771590352.690567493,28.753558865,77.115650083,28.753558700,77.115651400,0.1297
1771590352.723942041,28.753558843,77.115650089,28.753558700,77.115651400,0.1288
1771590352.757315874,28.753558878,77.115649967,28.753558700,77.115651400,0.1411
1771590352.824063540,28.753558861,77.115649498,28.753558700,77.115651400,0.1863
1771590352.857437372,28.753559046,77.115649034,28.753558300,77.115651700,0.2728
1771590352.890810966,28.753559049,77.115648932,28.753558300,77.115651700,0.2824
1771590352.924184799,28.753559150,77.115648941,28.753558300,77.115651700,0.2850
1771590352.957558632,28.753559267,77.115648694,28.753558300,77.115651700,0.3122
1771590352.990932465,28.753559348,77.115648815,28.753558300,77.115651700,0.3045
1771590353.024306059,28.753559241,77.115648791,28.753558300,77.115651700,0.3023
1771590353.057679892,28.753559145,77.115648585,28.753558300,77.115651700,0.3179
1771590353.091053724,28.753545253,77.115642509,28.753558300,77.115651800,1.7103
1771590353.124427557,28.753559308,77.115648548,28.753558300,77.115651800,0.3363
1771590353.157801151,28.753559323,77.115648578,28.753558300,77.115651800,0.3341
1771590353.191174984,28.753559205,77.115648677,28.753558300,77.115651800,0.3207
1771590353.224548817,28.753559174,77.115648782,28.753558300,77.115651800,0.3099
1771590353.257922649,28.753545270,77.115643248,28.753558300,77.115651800,1.6716
1771590353.324669600,28.753558709,77.115649777,28.753558300,77.115651800,0.2023
1771590353.424790859,28.753558994,77.115649310,28.753558400,77.115651700,0.2422
1771590353.458163977,28.753559087,77.115649058,28.753558400,77.115651700,0.2686
1771590353.491537333,28.753559075,77.115648953,28.753558400,77.115651700,0.2781
1771590353.524910688,28.753559160,77.115648604,28.753558400,77.115651700,0.3135
1771590353.558284283,28.753559229,77.115648385,28.753558400,77.115651700,0.3361
1771590353.591657400,28.753560359,77.115647133,28.753558800,77.115651500,0.4597
1771590353.625030756,28.753560314,77.115646864,28.753558800,77.115651500,0.4823
1771590353.658404112,28.753560098,77.115646924,28.753558800,77.115651500,0.4689
1771590353.691777706,28.753559991,77.115647021,28.753558800,77.115651500,0.4563
1771590353.725150824,28.753560106,77.115646945,28.753558800,77.115651500,0.4672
1771590353.758524179,28.753560252,77.115647111,28.753558800,77.115651500,0.4573
1771590353.791897535,28.753560228,77.115647130,28.753558800,77.115651500,0.4547
1771590353.892017603,28.753560196,77.115647427,28.753559000,77.115651500,0.4187
1771590354.325872183,28.753559884,77.115649472,28.753558900,77.115651600,0.2346
1771590354.592859030,28.753559012,77.115651428,28.753558600,77.115652000,0.0721
1771590354.626232386,28.753558990,77.115651485,28.753558600,77.115652000,0.0663
1771590354.659605980,28.753559143,77.115651592,28.753558600,77.115652000,0.0724
1771590354.692979336,28.753559093,77.115651675,28.753558600,77.115652000,0.0633
1771590354.726352453,28.753559061,77.115651581,28.753558600,77.115652000,0.0655
1771590356.461777449,28.753556020,77.115647623,28.753558600,77.115652000,0.5142
1771590356.495150805,28.753555852,77.115647654,28.753558600,77.115652000,0.5223
1771590356.528524160,28.753555962,77.115647549,28.753558600,77.115652000,0.5237
